03:06:02  INFO      src.etl.awards  Awards player [42/528] pid=202687 source=api added_rows=0 cumulative_rows=133 cached=16 fetched=26 failed=0
03:06:05  INFO      src.etl.awards  Awards player [43/528] pid=1641710 source=api added_rows=0 cumulative_rows=133 cached=16 fetched=27 failed=0
03:06:08  INFO      src.etl.awards  Awards player [44/528] pid=1631205 source=api added_rows=0 cumulative_rows=133 cached=16 fetched=28 failed=0
03:06:08  INFO      src.etl.awards  Awards player [45/528] pid=203992 source=cache added_rows=2 cumulative_rows=135 cached=17 fetched=28 failed=0
03:06:11  INFO      src.etl.awards  Awards player [46/528] pid=1641737 source=api added_rows=0 cumulative_rows=135 cached=17 fetched=29 failed=0
03:06:11  INFO      src.etl.awards  Awards player [47/528] pid=1626164 source=cache added_rows=23 cumulative_rows=158 cached=18 fetched=29 failed=0
03:06:14  INFO      src.etl.awards  Awards player [48/528] pid=1631123 source=api added_rows=0 cumulative_rows=158 cached=18 fetched=30 failed=0
03:06:14  INFO      src.etl.awards  Awards player [49/528] pid=1631128 source=cache added_rows=1 cumulative_rows=159 cached=19 fetched=30 failed=0
03:06:18  INFO      src.etl.awards  Awards player [50/528] pid=1642886 source=api added_rows=0 cumulative_rows=159 cached=19 fetched=31 failed=0
03:06:18  INFO      src.etl.awards  Awards progress: 50/528 players processed (cached=19 fetched=31 failed=0 rows_buffered=159)
03:06:18  INFO      src.etl.awards  Awards player [51/528] pid=1628969 source=cache added_rows=2 cumulative_rows=161 cached=20 fetched=31 failed=0
03:06:18  INFO      src.etl.awards  Awards player [52/528] pid=1628970 source=cache added_rows=1 cumulative_rows=162 cached=21 fetched=31 failed=0
03:06:18  INFO      src.etl.awards  Awards player [53/528] pid=1628415 source=cache added_rows=2 cumulative_rows=164 cached=22 fetched=31 failed=0
03:06:22  INFO      src.etl.awards  Awards player [54/528] pid=1641780 source=api added_rows=0 cumulative_rows=164 cached=22 fetched=32 failed=0
03:06:22  INFO      src.etl.awards  Awards player [55/528] pid=1628971 source=cache added_rows=1 cumulative_rows=165 cached=23 fetched=32 failed=0
03:06:25  INFO      src.etl.awards  Awards player [56/528] pid=1642468 source=api added_rows=0 cumulative_rows=165 cached=23 fetched=33 failed=0
03:06:25  INFO      src.etl.awards  Awards player [57/528] pid=1627759 source=cache added_rows=16 cumulative_rows=181 cached=24 fetched=33 failed=0
03:06:28  INFO      src.etl.awards  Awards player [58/528] pid=1641738 source=api added_rows=0 cumulative_rows=181 cached=24 fetched=34 failed=0
03:06:28  INFO      src.etl.awards  Awards player [59/528] pid=1628973 source=cache added_rows=19 cumulative_rows=200 cached=25 fetched=34 failed=0
03:06:31  INFO      src.etl.awards  Awards player [60/528] pid=1642868 source=api added_rows=0 cumulative_rows=200 cached=25 fetched=35 failed=0
03:06:31  INFO      src.etl.awards  Awards progress: 60/528 players processed (cached=25 fetched=35 failed=0 rows_buffered=200)
03:06:31  INFO      src.etl.awards  Awards player [61/528] pid=1628418 source=cache added_rows=1 cumulative_rows=201 cached=26 fetched=35 failed=0
03:06:35  INFO      src.etl.awards  Awards player [62/528] pid=1641723 source=api added_rows=0 cumulative_rows=201 cached=26 fetched=36 failed=0
03:06:35  INFO      src.etl.awards  Awards player [63/528] pid=202710 source=cache added_rows=25 cumulative_rows=226 cached=27 fetched=36 failed=0
03:06:35  INFO      src.etl.awards  Awards player [64/528] pid=1641824 source=cache added_rows=1 cumulative_rows=227 cached=28 fetched=36 failed=0
03:06:38  INFO      src.etl.awards  Awards player [65/528] pid=1631288 source=api added_rows=0 cumulative_rows=227 cached=28 fetched=37 failed=0
03:06:38  INFO      src.etl.awards  Awards player [66/528] pid=203484 source=cache added_rows=2 cumulative_rows=229 cached=29 fetched=37 failed=0
03:06:38  INFO      src.etl.awards  Awards player [67/528] pid=1641739 source=cache added_rows=2 cumulative_rows=231 cached=30 fetched=37 failed=0
03:06:41  INFO      src.etl.awards  Awards player [68/528] pid=203991 source=api added_rows=0 cumulative_rows=231 cached=30 fetched=38 failed=0
03:06:44  INFO      src.etl.awards  Awards player [69/528] pid=1642928 source=api added_rows=0 cumulative_rows=231 cached=30 fetched=39 failed=0
03:06:44  INFO      src.etl.awards  Awards player [70/528] pid=1642382 source=cache added_rows=1 cumulative_rows=232 cached=31 fetched=39 failed=0
03:06:44  INFO      src.etl.awards  Awards progress: 70/528 players processed (cached=31 fetched=39 failed=0 rows_buffered=232)
03:06:44  INFO      src.etl.awards  Awards player [71/528] pid=1642267 source=cache added_rows=1 cumulative_rows=233 cached=32 fetched=39 failed=0
03:06:47  INFO      src.etl.awards  Awards player [72/528] pid=1642269 source=api added_rows=0 cumulative_rows=233 cached=32 fetched=40 failed=0
03:06:50  INFO      src.etl.awards  Awards player [73/528] pid=1628975 source=api added_rows=0 cumulative_rows=233 cached=32 fetched=41 failed=0
03:06:53  INFO      src.etl.awards  Awards player [74/528] pid=1628976 source=api added_rows=0 cumulative_rows=233 cached=32 fetched=42 failed=0
03:06:53  INFO      src.etl.awards  Awards player [75/528] pid=1627936 source=cache added_rows=4 cumulative_rows=237 cached=33 fetched=42 failed=0
03:06:53  INFO      src.etl.awards  Awards player [76/528] pid=1642264 source=cache added_rows=4 cumulative_rows=241 cached=34 fetched=42 failed=0
03:06:56  INFO      src.etl.awards  Awards player [77/528] pid=1630658 source=api added_rows=0 cumulative_rows=241 cached=34 fetched=43 failed=0
03:06:59  INFO      src.etl.awards  Awards player [78/528] pid=1630577 source=api added_rows=0 cumulative_rows=241 cached=34 fetched=44 failed=0
03:07:02  INFO      src.etl.awards  Awards player [79/528] pid=1630551 source=api added_rows=0 cumulative_rows=241 cached=34 fetched=45 failed=0
03:07:06  INFO      src.etl.awards  Awards player [80/528] pid=1642353 source=api added_rows=0 cumulative_rows=241 cached=34 fetched=46 failed=0
03:07:06  INFO      src.etl.awards  Awards progress: 80/528 players processed (cached=34 fetched=46 failed=0 rows_buffered=241)
03:07:09  INFO      src.etl.awards  Awards player [81/528] pid=1631108 source=api added_rows=0 cumulative_rows=241 cached=34 fetched=47 failed=0
03:07:12  INFO      src.etl.awards  Awards player [82/528] pid=1630619 source=api added_rows=0 cumulative_rows=241 cached=34 fetched=48 failed=0
03:07:15  INFO      src.etl.awards  Awards player [83/528] pid=1631321 source=api added_rows=0 cumulative_rows=241 cached=34 fetched=49 failed=0
03:07:18  INFO      src.etl.awards  Awards player [84/528] pid=1641740 source=api added_rows=0 cumulative_rows=241 cached=34 fetched=50 failed=0
03:07:18  INFO      src.etl.awards  Awards player [85/528] pid=1629634 source=cache added_rows=1 cumulative_rows=242 cached=35 fetched=50 failed=0
03:07:18  INFO      src.etl.awards  Awards player [86/528] pid=203903 source=cache added_rows=3 cumulative_rows=245 cached=36 fetched=50 failed=0
03:07:21  INFO      src.etl.awards  Awards player [87/528] pid=1629651 source=api added_rows=0 cumulative_rows=245 cached=36 fetched=51 failed=0
03:07:24  INFO      src.etl.awards  Awards player [88/528] pid=1642383 source=api added_rows=0 cumulative_rows=245 cached=36 fetched=52 failed=0
03:07:27  INFO      src.etl.awards  Awards player [89/528] pid=1642363 source=api added_rows=0 cumulative_rows=245 cached=36 fetched=53 failed=0
03:07:27  INFO      src.etl.awards  Awards player [90/528] pid=1642270 source=cache added_rows=1 cumulative_rows=246 cached=37 fetched=53 failed=0
03:07:27  INFO      src.etl.awards  Awards progress: 90/528 players processed (cached=37 fetched=53 failed=0 rows_buffered=246)
03:07:30  INFO      src.etl.awards  Awards player [91/528] pid=1641730 source=api added_rows=0 cumulative_rows=246 cached=37 fetched=54 failed=0
03:07:34  INFO      src.etl.awards  Awards player [92/528] pid=1629599 source=api added_rows=0 cumulative_rows=246 cached=37 fetched=55 failed=0
03:07:34  INFO      src.etl.awards  Awards player [93/528] pid=1642268 source=cache added_rows=1 cumulative_rows=247 cached=38 fetched=55 failed=0
03:07:34  INFO      src.etl.awards  Awards player [94/528] pid=1628381 source=cache added_rows=1 cumulative_rows=248 cached=39 fetched=55 failed=0
03:07:37  INFO      src.etl.awards  Awards player [95/528] pid=1628380 source=api added_rows=0 cumulative_rows=248 cached=39 fetched=56 failed=0
03:07:37  INFO      src.etl.awards  Awards player [96/528] pid=201144 source=cache added_rows=4 cumulative_rows=252 cached=40 fetched=56 failed=0
03:07:37  INFO      src.etl.awards  Awards player [97/528] pid=1626192 source=cache added_rows=1 cumulative_rows=253 cached=41 fetched=56 failed=0
03:07:40  INFO      src.etl.awards  Awards player [98/528] pid=1631451 source=api added_rows=0 cumulative_rows=253 cached=41 fetched=57 failed=0
03:07:44  INFO      src.etl.awards  Awards player [99/528] pid=1630536 source=api added_rows=0 cumulative_rows=253 cached=41 fetched=58 failed=0
03:07:44  INFO      src.etl.awards  Awards player [100/528] pid=1641731 source=cache added_rows=1 cumulative_rows=254 cached=42 fetched=58 failed=0
03:07:44  INFO      src.etl.awards  Awards progress: 100/528 players processed (cached=42 fetched=58 failed=0 rows_buffered=254)
03:07:47  INFO      src.etl.awards  Awards player [101/528] pid=1642907 source=api added_rows=0 cumulative_rows=254 cached=42 fetched=59 failed=0
03:07:50  INFO      src.etl.awards  Awards player [102/528] pid=1642384 source=api added_rows=0 cumulative_rows=254 cached=42 fetched=60 failed=0
03:07:53  INFO      src.etl.awards  Awards player [103/528] pid=1643018 source=api added_rows=0 cumulative_rows=254 cached=42 fetched=61 failed=0
03:07:53  INFO      src.etl.awards  Awards player [104/528] pid=1630595 source=cache added_rows=8 cumulative_rows=262 cached=43 fetched=61 failed=0
03:07:57  INFO      src.etl.awards  Awards player [105/528] pid=203552 source=api added_rows=0 cumulative_rows=262 cached=43 fetched=62 failed=0
03:07:57  INFO      src.etl.awards  Awards player [106/528] pid=201939 source=cache added_rows=68 cumulative_rows=330 cached=44 fetched=62 failed=0
03:08:00  INFO      src.etl.awards  Awards player [107/528] pid=1642359 source=api added_rows=0 cumulative_rows=330 cached=44 fetched=63 failed=0
03:08:00  INFO      src.etl.awards  Awards player [108/528] pid=1630700 source=cache added_rows=3 cumulative_rows=333 cached=45 fetched=63 failed=0
03:08:00  INFO      src.etl.awards  Awards player [109/528] pid=203076 source=cache added_rows=40 cumulative_rows=373 cached=46 fetched=63 failed=0
03:08:03  INFO      src.etl.awards  Awards player [110/528] pid=1631120 source=api added_rows=0 cumulative_rows=373 cached=46 fetched=64 failed=0
03:08:03  INFO      src.etl.awards  Awards progress: 110/528 players processed (cached=46 fetched=64 failed=0 rows_buffered=373)
03:08:03  INFO      src.etl.awards  Awards player [111/528] pid=201942 source=cache added_rows=29 cumulative_rows=402 cached=47 fetched=64 failed=0
03:08:06  INFO      src.etl.awards  Awards player [112/528] pid=1642484 source=api added_rows=0 cumulative_rows=402 cached=47 fetched=65 failed=0
03:08:06  INFO      src.etl.awards  Awards player [113/528] pid=1628978 source=cache added_rows=1 cumulative_rows=403 cached=48 fetched=65 failed=0
03:08:10  INFO      src.etl.awards  Awards player [114/528] pid=1631217 source=api added_rows=0 cumulative_rows=403 cached=48 fetched=66 failed=0
03:08:13  INFO      src.etl.awards  Awards player [115/528] pid=1642885 source=api added_rows=0 cumulative_rows=403 cached=48 fetched=67 failed=0
03:08:17  INFO      src.etl.awards  Awards player [116/528] pid=1641711 source=api added_rows=0 cumulative_rows=403 cached=48 fetched=68 failed=0
03:08:20  INFO      src.etl.awards  Awards player [117/528] pid=1630621 source=api added_rows=0 cumulative_rows=403 cached=48 fetched=69 failed=0
03:08:20  INFO      src.etl.awards  Awards player [118/528] pid=1631172 source=cache added_rows=1 cumulative_rows=404 cached=49 fetched=69 failed=0
03:08:23  INFO      src.etl.awards  Awards player [119/528] pid=1642265 source=api added_rows=0 cumulative_rows=404 cached=49 fetched=70 failed=0
03:08:23  INFO      src.etl.awards  Awards player [120/528] pid=1629029 source=cache added_rows=40 cumulative_rows=444 cached=50 fetched=70 failed=0
03:08:23  INFO      src.etl.awards  Awards progress: 120/528 players processed (cached=50 fetched=70 failed=0 rows_buffered=444)
03:08:23  INFO      src.etl.awards  Awards player [121/528] pid=1629652 source=cache added_rows=2 cumulative_rows=446 cached=51 fetched=70 failed=0
03:08:23  INFO      src.etl.awards  Awards player [122/528] pid=1630245 source=cache added_rows=1 cumulative_rows=447 cached=52 fetched=70 failed=0
03:08:23  INFO      src.etl.awards  Awards player [123/528] pid=203083 source=cache added_rows=9 cumulative_rows=456 cached=53 fetched=70 failed=0
03:08:26  INFO      src.etl.awards  Awards player [124/528] pid=1627739 source=api added_rows=0 cumulative_rows=456 cached=53 fetched=71 failed=0
03:08:30  INFO      src.etl.awards  Awards player [125/528] pid=1642346 source=api added_rows=0 cumulative_rows=456 cached=53 fetched=72 failed=0
03:08:30  INFO      src.etl.awards  Awards player [126/528] pid=201142 source=cache added_rows=91 cumulative_rows=547 cached=54 fetched=72 failed=0
03:08:30  INFO      src.etl.awards  Awards player [127/528] pid=1631105 source=cache added_rows=2 cumulative_rows=549 cached=55 fetched=72 failed=0
03:08:33  INFO      src.etl.awards  Awards player [128/528] pid=1642856 source=api added_rows=0 cumulative_rows=549 cached=55 fetched=73 failed=0
03:08:33  INFO      src.etl.awards  Awards player [129/528] pid=1631106 source=cache added_rows=1 cumulative_rows=550 cached=56 fetched=73 failed=0
03:08:33  INFO      src.etl.awards  Awards player [130/528] pid=1641744 source=cache added_rows=1 cumulative_rows=551 cached=57 fetched=73 failed=0
03:08:33  INFO      src.etl.awards  Awards progress: 130/528 players processed (cached=57 fetched=73 failed=0 rows_buffered=551)
03:08:36  INFO      src.etl.awards  Awards player [131/528] pid=1642845 source=api added_rows=0 cumulative_rows=551 cached=57 fetched=74 failed=0
03:08:36  INFO      src.etl.awards  Awards player [132/528] pid=1630162 source=cache added_rows=14 cumulative_rows=565 cached=58 fetched=74 failed=0
03:08:39  INFO      src.etl.awards  Awards player [133/528] pid=1642348 source=api added_rows=0 cumulative_rows=565 cached=58 fetched=75 failed=0
03:08:42  INFO      src.etl.awards  Awards player [134/528] pid=1631165 source=api added_rows=0 cumulative_rows=565 cached=58 fetched=76 failed=0
03:08:42  INFO      src.etl.awards  Awards player [135/528] pid=203954 source=cache added_rows=42 cumulative_rows=607 cached=59 fetched=76 failed=0
03:08:45  INFO      src.etl.awards  Awards player [136/528] pid=1642400 source=api added_rows=0 cumulative_rows=607 cached=59 fetched=77 failed=0
03:08:51  INFO      src.etl.awards  Awards player [137/528] pid=1642855 source=api added_rows=0 cumulative_rows=607 cached=59 fetched=78 failed=0
